estudo,cenario,nids_cpu_pps,taxa_pps_total,taxa_bps_total,taxa_descarte_geral,taxa_falsos_negativos,throughput_legitimo_mbps,latencia_media_ms
estudo_1,gargalo_alto_pps_128b,1000,5000,5120000,6.93465e-05,0.89,22.0838,16.947400000000002
estudo_1,baseline_alto_pps_128b,100000000,5000,5120000,0.0,0.0,104.174,5.01261
estudo_1,gargalo_alto_pps_128b,1000,5000,5120000,6.93465e-05,0.89,22.0838,16.947400000000002
estudo_1,baseline_alto_pps_128b,100000000,5000,5120000,0.0,0.0,104.174,5.01261
estudo_1,gargalo_alto_pps_128b,1000,5000,5120000,6.93465e-05,0.89,22.0838,16.947400000000002
estudo_1,baseline_alto_pps_128b,100000000,5000,5120000,0.0,0.0,104.174,5.01261
estudo_1,gargalo_alto_pps_128b,1000,5000,5120000,6.93465e-05,0.89,22.0838,16.947400000000002
estudo_1,baseline_alto_pps_128b,100000000,5000,5120000,0.0,0.0,104.174,5.01261
estudo_1,gargalo_alto_pps_128b,1000,5000,5120000,6.93465e-05,0.89,22.0838,16.947400000000002
estudo_1,baseline_alto_pps_128b,100000000,5000,5120000,0.0,0.0,104.174,5.01261
estudo_1,gargalo_alto_pps_128b,2000,5000,5120000,6.93465e-05,0.77,22.0838,16.947400000000002
estudo_1,baseline_alto_pps_128b,100000000,5000,5120000,0.0,0.0,104.174,5.01261
estudo_1,gargalo_alto_pps_128b,2000,5000,5120000,6.93465e-05,0.77,22.0838,16.947400000000002
estudo_1,baseline_alto_pps_128b,100000000,5000,5120000,0.0,0.0,104.174,5.01261
estudo_1,gargalo_alto_pps_128b,2000,5000,5120000,6.93465e-05,0.77,22.0838,16.947400000000002
estudo_1,baseline_alto_pps_128b,100000000,5000,5120000,0.0,0.0,104.174,5.01261
estudo_1,gargalo_alto_pps_128b,2000,5000,5120000,6.93465e-05,0.77,22.0838,16.947400000000002
estudo_1,baseline_alto_pps_128b,100000000,5000,5120000,0.0,0.0,104.174,5.01261
estudo_1,gargalo_alto_pps_128b,2000,5000,5120000,6.93465e-05,0.77,22.0838,16.947400000000002
estudo_1,baseline_alto_pps_128b,100000000,5000,5120000,0.0,0.0,104.174,5.01261
estudo_1,gargalo_alto_pps_128b,5000,5000,5120000,6.93465e-05,0.41,22.0838,16.947400000000002
estudo_1,baseline_alto_pps_128b,100000000,5000,5120000,0.0,0.0,104.174,5.01261
estudo_1,gargalo_alto_pps_128b,5000,5000,5120000,6.93465e-05,0.41,22.0838,16.947400000000002
estudo_1,baseline_alto_pps_128b,100000000,5000,5120000,0.0,0.0,104.174,5.01261
estudo_1,gargalo_alto_pps_128b,5000,5000,5120000,6.93465e-05,0.41,22.0838,16.947400000000002
estudo_1,baseline_alto_pps_128b,100000000,5000,5120000,0.0,0.0,104.174,5.01261
estudo_1,gargalo_alto_pps_128b,5000,5000,5120000,6.93465e-05,0.41,22.0838,16.947400000000002
estudo_1,baseline_alto_pps_128b,100000000,5000,5120000,0.0,0.0,104.174,5.01261
estudo_1,gargalo_alto_pps_128b,5000,5000,5120000,6.93465e-05,0.41,22.0838,16.947400000000002
estudo_1,baseline_alto_pps_128b,100000000,5000,5120000,0.0,0.0,104.174,5.01261
estudo_1,gargalo_alto_pps_128b,10000,5000,5120000,6.93465e-05,0.0,22.0838,16.947400000000002
estudo_1,baseline_alto_pps_128b,100000000,5000,5120000,0.0,0.0,104.174,5.01261
estudo_1,gargalo_alto_pps_128b,10000,5000,5120000,6.93465e-05,0.0,22.0838,16.947400000000002
estudo_1,baseline_alto_pps_128b,100000000,5000,5120000,0.0,0.0,104.174,5.01261
estudo_1,gargalo_alto_pps_128b,10000,5000,5120000,6.93465e-05,0.0,22.0838,16.947400000000002
estudo_1,baseline_alto_pps_128b,100000000,5000,5120000,0.0,0.0,104.174,5.01261
estudo_1,gargalo_alto_pps_128b,10000,5000,5120000,6.93465e-05,0.0,22.0838,16.947400000000002
estudo_1,baseline_alto_pps_128b,100000000,5000,5120000,0.0,0.0,104.174,5.01261
estudo_1,gargalo_alto_pps_128b,10000,5000,5120000,6.93465e-05,0.0,22.0838,16.947400000000002
estudo_1,baseline_alto_pps_128b,100000000,5000,5120000,0.0,0.0,104.174,5.01261
estudo_1,gargalo_alto_bps_1400b,1000,5000,56000000,0.523015,0.65,4.26894,40.3807
estudo_1,baseline_alto_bps_1400b,100000000,5000,56000000,0.0,0.0,104.174,5.013260000000001
estudo_1,gargalo_alto_bps_1400b,1000,5000,56000000,0.523015,0.65,4.26894,40.3807
estudo_1,baseline_alto_bps_1400b,100000000,5000,56000000,0.0,0.0,104.174,5.013260000000001
estudo_1,gargalo_alto_bps_1400b,1000,5000,56000000,0.523015,0.65,4.26894,40.3807
estudo_1,baseline_alto_bps_1400b,100000000,5000,56000000,0.0,0.0,104.174,5.013260000000001
estudo_1,gargalo_alto_bps_1400b,1000,5000,56000000,0.523015,0.65,4.26894,40.3807
estudo_1,baseline_alto_bps_1400b,100000000,5000,56000000,0.0,0.0,104.174,5.013260000000001
estudo_1,gargalo_alto_bps_1400b,1000,5000,56000000,0.523015,0.65,4.26894,40.3807
estudo_1,baseline_alto_bps_1400b,100000000,5000,56000000,0.0,0.0,104.174,5.013260000000001
estudo_1,gargalo_alto_bps_1400b,2000,5000,56000000,0.523015,0.26,4.26894,40.3807
estudo_1,baseline_alto_bps_1400b,100000000,5000,56000000,0.0,0.0,104.174,5.013260000000001
estudo_1,gargalo_alto_bps_1400b,2000,5000,56000000,0.523015,0.26,4.26894,40.3807
estudo_1,baseline_alto_bps_1400b,100000000,5000,56000000,0.0,0.0,104.174,5.013260000000001
estudo_1,gargalo_alto_bps_1400b,2000,5000,56000000,0.523015,0.26,4.26894,40.3807
estudo_1,baseline_alto_bps_1400b,100000000,5000,56000000,0.0,0.0,104.174,5.013260000000001
estudo_1,gargalo_alto_bps_1400b,2000,5000,56000000,0.523015,0.26,4.26894,40.3807
estudo_1,baseline_alto_bps_1400b,100000000,5000,56000000,0.0,0.0,104.174,5.013260000000001
estudo_1,gargalo_alto_bps_1400b,2000,5000,56000000,0.523015,0.26,4.26894,40.3807
estudo_1,baseline_alto_bps_1400b,100000000,5000,56000000,0.0,0.0,104.174,5.013260000000001
estudo_1,gargalo_alto_bps_1400b,5000,5000,56000000,0.523015,0.0,4.26894,40.3807
estudo_1,baseline_alto_bps_1400b,100000000,5000,56000000,0.0,0.0,104.174,5.013260000000001
estudo_1,gargalo_alto_bps_1400b,5000,5000,56000000,0.523015,0.0,4.26894,40.3807
estudo_1,baseline_alto_bps_1400b,100000000,5000,56000000,0.0,0.0,104.174,5.013260000000001
estudo_1,gargalo_alto_bps_1400b,5000,5000,56000000,0.523015,0.0,4.26894,40.3807
estudo_1,baseline_alto_bps_1400b,100000000,5000,56000000,0.0,0.0,104.174,5.013260000000001
estudo_1,gargalo_alto_bps_1400b,5000,5000,56000000,0.523015,0.0,4.26894,40.3807
estudo_1,baseline_alto_bps_1400b,100000000,5000,56000000,0.0,0.0,104.174,5.013260000000001
estudo_1,gargalo_alto_bps_1400b,5000,5000,56000000,0.523015,0.0,4.26894,40.3807
estudo_1,baseline_alto_bps_1400b,100000000,5000,56000000,0.0,0.0,104.174,5.013260000000001
estudo_1,gargalo_alto_bps_1400b,10000,5000,56000000,0.523015,0.0,4.26894,40.3807
estudo_1,baseline_alto_bps_1400b,100000000,5000,56000000,0.0,0.0,104.174,5.013260000000001
estudo_1,gargalo_alto_bps_1400b,10000,5000,56000000,0.523015,0.0,4.26894,40.3807
estudo_1,baseline_alto_bps_1400b,100000000,5000,56000000,0.0,0.0,104.174,5.013260000000001
estudo_1,gargalo_alto_bps_1400b,10000,5000,56000000,0.523015,0.0,4.26894,40.3807
estudo_1,baseline_alto_bps_1400b,100000000,5000,56000000,0.0,0.0,104.174,5.013260000000001
